172.23.0.1 - - [26/Apr/2022:10:58:34 +0000] "GET / HTTP/1.1" 500 177 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.23.0.1 - - [26/Apr/2022:10:58:35 +0000] "GET /favicon.ico HTTP/1.1" 500 177 "http://localhost:3000/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET / HTTP/1.1" 200 2150 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET /static/css/2.d344b5ea.chunk.css HTTP/1.1" 200 21599 "http://localhost:3000/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET /static/css/main.87450cd7.chunk.css HTTP/1.1" 200 409 "http://localhost:3000/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET /static/js/2.4693b7d6.chunk.js HTTP/1.1" 200 1222667 "http://localhost:3000/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET /static/js/main.4edd5db6.chunk.js HTTP/1.1" 200 56037 "http://localhost:3000/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET /static/js/main.4edd5db6.chunk.js HTTP/1.1" 200 56037 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:08 +0000] "GET /static/js/2.4693b7d6.chunk.js HTTP/1.1" 200 1222667 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:11 +0000] "GET /static/css/main.87450cd7.chunk.css.map HTTP/1.1" 200 671 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:32 +0000] "GET /login HTTP/1.1" 200 2150 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.26.0.1 - - [26/Apr/2022:11:09:33 +0000] "GET /static/css/main.87450cd7.chunk.css.map HTTP/1.1" 304 0 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:99.0) Gecko/20100101 Firefox/99.0"
172.22.0.1 - - [26/Apr/2022:14:45:40 +0000] "GET / HTTP/1.1" 500 579 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.12 Safari/537.36"
172.22.0.1 - - [26/Apr/2022:14:45:40 +0000] "GET /favicon.ico HTTP/1.1" 500 579 "http://localhost:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.12 Safari/537.36"
